"Module","Phase","Function","File","Line"
"AGS_Annihilation","AreOnlyValidSquads","AGS_Annihilation_AreOnlyValidSquads","conditions/ags_annihilation.scar","173"
"AGS_Annihilation","CheckAnnihilation","AGS_Annihilation_CheckAnnihilation","conditions/ags_annihilation.scar","153"
"AGS_Annihilation","CreateObjective","AGS_Annihilation_CreateObjective","conditions/ags_annihilation.scar","133"
"AGS_Annihilation","DefineCheapestSquads","AGS_Annihilation_DefineCheapestSquads","conditions/ags_annihilation.scar","199"
"AGS_Annihilation","Eliminate","AGS_Annihilation_Eliminate","conditions/ags_annihilation.scar","142"
"AGS_Annihilation","IsAbleToProduce","AGS_Annihilation_IsAbleToProduce","conditions/ags_annihilation.scar","213"
"AGS_Annihilation","OnConstructionComplete","AGS_Annihilation_OnConstructionComplete","conditions/ags_annihilation.scar","116"
"AGS_Annihilation","OnDamageReceived","AGS_Annihilation_OnDamageReceived","conditions/ags_annihilation.scar","97"
"AGS_Annihilation","OnEntityKilled","AGS_Annihilation_OnEntityKilled","conditions/ags_annihilation.scar","104"
"AGS_Annihilation","OnGameOver","AGS_Annihilation_OnGameOver","conditions/ags_annihilation.scar","84"
"AGS_Annihilation","OnLandmarkDestroyed","AGS_Annihilation_OnLandmarkDestroyed","conditions/ags_annihilation.scar","110"
"AGS_Annihilation","OnObjectiveToggle","AGS_Annihilation_OnObjectiveToggle","conditions/ags_annihilation.scar","77"
"AGS_Annihilation","OnPlay","AGS_Annihilation_OnPlay","conditions/ags_annihilation.scar","46"
"AGS_Annihilation","OnPlayerDefeated","AGS_Annihilation_OnPlayerDefeated","conditions/ags_annihilation.scar","65"
"AGS_Annihilation","PlayerCanReceiveTribute","AGS_Annihilation_PlayerCanReceiveTribute","conditions/ags_annihilation.scar","287"
"AGS_Annihilation","PresetFinalize","AGS_Annihilation_PresetFinalize","conditions/ags_annihilation.scar","41"
"AGS_Annihilation","RemoveObjective","AGS_Annihilation_RemoveObjective","conditions/ags_annihilation.scar","138"
"AGS_Annihilation","TreatyEnded","AGS_Annihilation_TreatyEnded","conditions/ags_annihilation.scar","60"
"AGS_Annihilation","TreatyStarted","AGS_Annihilation_TreatyStarted","conditions/ags_annihilation.scar","55"
"AGS_Annihilation","UpdateModuleSettings","AGS_Annihilation_UpdateModuleSettings","conditions/ags_annihilation.scar","34"
"AGS_AutoResources","PresetFinalize","AGS_AutoResources_PresetFinalize","gameplay/ags_auto_resources.scar","24"
"AGS_AutoResources","UpdateModuleSettings","AGS_AutoResources_UpdateModuleSettings","gameplay/ags_auto_resources.scar","18"
"AGS_Elimination","OnPlayerAITakeover","AGS_Elimination_OnPlayerAITakeover","conditions/ags_elimination.scar","30"
"AGS_Elimination","OnPlayerDefeated","AGS_Elimination_OnPlayerDefeated","conditions/ags_elimination.scar","60"
"AGS_Elimination","UpdateModuleSettings","AGS_Elimination_UpdateModuleSettings","conditions/ags_elimination.scar","23"
"AGS_GameRates","ApplyBonus","AGS_GameRates_ApplyBonus","gameplay/ags_game_rates.scar","38"
"AGS_GameRates","ApplyModifier","AGS_GameRates_ApplyModifier","gameplay/ags_game_rates.scar","51"
"AGS_GameRates","PresetFinalize","AGS_GameRates_PresetFinalize","gameplay/ags_game_rates.scar","27"
"AGS_GameRates","UpdateModuleSettings","AGS_GameRates_UpdateModuleSettings","gameplay/ags_game_rates.scar","20"
"AGS_GatherRates","ApplyBonus","AGS_GatherRates_ApplyBonus","gameplay/ags_gather_rates.scar","36"
"AGS_GatherRates","ApplyModifier","AGS_GatherRates_ApplyModifier","gameplay/ags_gather_rates.scar","51"
"AGS_GatherRates","PresetFinalize","AGS_GatherRates_PresetFinalize","gameplay/ags_gather_rates.scar","26"
"AGS_GatherRates","UpdateModuleSettings","AGS_GatherRates_UpdateModuleSettings","gameplay/ags_gather_rates.scar","19"
"AGS_GlobalSettings","CBA_Rewards","AGS_GlobalSettings_CBA_Rewards","ags_global_settings.scar","1418"
"AGS_GlobalSettings","DefineCbaSettings","AGS_GlobalSettings_DefineCbaSettings","ags_global_settings.scar","574"
"AGS_GlobalSettings","DefineGameConditions","AGS_GlobalSettings_DefineGameConditions","ags_global_settings.scar","355"
"AGS_GlobalSettings","DefineGameSettings","AGS_GlobalSettings_DefineGameSettings","ags_global_settings.scar","423"
"AGS_GlobalSettings","DefineHandicapSettings","AGS_GlobalSettings_DefineHandicapSettings","ags_global_settings.scar","567"
"AGS_GlobalSettings","DefineLegacySettings","AGS_GlobalSettings_DefineLegacySettings","ags_global_settings.scar","540"
"AGS_GlobalSettings","DefineMatchSettings","AGS_GlobalSettings_DefineMatchSettings","ags_global_settings.scar","473"
"AGS_GlobalSettings","DefinePlayerSettings","AGS_GlobalSettings_DefinePlayerSettings","ags_global_settings.scar","467"
"AGS_GlobalSettings","DefineRestrictionSettings","AGS_GlobalSettings_DefineRestrictionSettings","ags_global_settings.scar","582"
"AGS_GlobalSettings","DefineWinConditions","AGS_GlobalSettings_DefineWinConditions","ags_global_settings.scar","328"
"AGS_GlobalSettings","DefineWinSettings","AGS_GlobalSettings_DefineWinSettings","ags_global_settings.scar","381"
"AGS_GlobalSettings","EarlyInitializations","AGS_GlobalSettings_EarlyInitializations","ags_global_settings.scar","301"
"AGS_GlobalSettings","OnGameOver","AGS_GlobalSettings_OnGameOver","ags_global_settings.scar","307"
"AGS_GlobalSettings","OnLocalPlayerChanged","AGS_GlobalSettings_OnLocalPlayerChanged","ags_global_settings.scar","316"
"AGS_GlobalSettings","RetrieveSlotHandicap","AGS_GlobalSettings_RetrieveSlotHandicap","ags_global_settings.scar","1042"
"AGS_GlobalSettings","SetAutoAge","AGS_GlobalSettings_SetAutoAge","ags_global_settings.scar","1320"
"AGS_GlobalSettings","SetEndingAge","AGS_GlobalSettings_SetEndingAge","ags_global_settings.scar","843"
"AGS_GlobalSettings","SetGameRates","AGS_GlobalSettings_SetGameRates","ags_global_settings.scar","1218"
"AGS_GlobalSettings","SetGatherRates","AGS_GlobalSettings_SetGatherRates","ags_global_settings.scar","1270"
"AGS_GlobalSettings","SetHandicapType","AGS_GlobalSettings_SetHandicapType","ags_global_settings.scar","1003"
"AGS_GlobalSettings","SetMaintainTeamBalance","AGS_GlobalSettings_SetMaintainTeamBalance","ags_global_settings.scar","614"
"AGS_GlobalSettings","SetMapVision","AGS_GlobalSettings_SetMapVision","ags_global_settings.scar","821"
"AGS_GlobalSettings","SetMaximumMedicPopulation","AGS_GlobalSettings_SetMaximumMedicPopulation","ags_global_settings.scar","1352"
"AGS_GlobalSettings","SetMaximumPopulation","AGS_GlobalSettings_SetMaximumPopulation","ags_global_settings.scar","1156"
"AGS_GlobalSettings","SetMaximumProductionBuildings","AGS_GlobalSettings_SetMaximumProductionBuildings","ags_global_settings.scar","1376"
"AGS_GlobalSettings","SetMaximumSiegeWorkshop","AGS_GlobalSettings_SetMaximumSiegeWorkshop","ags_global_settings.scar","1400"
"AGS_GlobalSettings","SetMinimumPopulation","AGS_GlobalSettings_SetMinimumPopulation","ags_global_settings.scar","1118"
"AGS_GlobalSettings","SetPopulationinterval","AGS_GlobalSettings_SetPopulationinterval","ags_global_settings.scar","1332"
"AGS_GlobalSettings","SetReligiousTimer","AGS_GlobalSettings_SetReligiousTimer","ags_global_settings.scar","1076"
"AGS_GlobalSettings","SetScoreTimer","AGS_GlobalSettings_SetScoreTimer","ags_global_settings.scar","765"
"AGS_GlobalSettings","SetSettlement","AGS_GlobalSettings_SetSettlement","ags_global_settings.scar","641"
"AGS_GlobalSettings","SetSimulationSpeed","AGS_GlobalSettings_SetSimulationSpeed","ags_global_settings.scar","955"
"AGS_GlobalSettings","SetSlotHandicaps","AGS_GlobalSettings_SetSlotHandicaps","ags_global_settings.scar","1015"
"AGS_GlobalSettings","SetStartingAge","AGS_GlobalSettings_SetStartingAge","ags_global_settings.scar","831"
"AGS_GlobalSettings","SetStartingKeeps","AGS_GlobalSettings_SetStartingKeeps","ags_global_settings.scar","939"
"AGS_GlobalSettings","SetStartingKings","AGS_GlobalSettings_SetStartingKings","ags_global_settings.scar","947"
"AGS_GlobalSettings","SetStartingResources","AGS_GlobalSettings_SetStartingResources","ags_global_settings.scar","871"
"AGS_GlobalSettings","SetStartingVillagers","AGS_GlobalSettings_SetStartingVillagers","ags_global_settings.scar","889"
"AGS_GlobalSettings","SetTeamVictory","AGS_GlobalSettings_SetTeamVictory","ags_global_settings.scar","691"
"AGS_GlobalSettings","SetTeamVision","AGS_GlobalSettings_SetTeamVision","ags_global_settings.scar","811"
"AGS_GlobalSettings","SetTechnologyAge","AGS_GlobalSettings_SetTechnologyAge","ags_global_settings.scar","857"
"AGS_GlobalSettings","SetTownCenterRestricts","AGS_GlobalSettings_SetTownCenterRestricts","ags_global_settings.scar","993"
"AGS_GlobalSettings","SetTreaty","AGS_GlobalSettings_SetTreaty","ags_global_settings.scar","653"
"AGS_GlobalSettings","SetTreatyTimer","AGS_GlobalSettings_SetTreatyTimer","ags_global_settings.scar","661"
"AGS_GlobalSettings","SetUnitRates","AGS_GlobalSettings_SetUnitRates","ags_global_settings.scar","1192"
"AGS_GlobalSettings","SetupSettings","AGS_GlobalSettings_SetupSettings","ags_global_settings.scar","233"
"AGS_GlobalSettings","SetWonderScaleCost","AGS_GlobalSettings_SetWonderScaleCost","ags_global_settings.scar","743"
"AGS_GlobalSettings","SetWonderTimer","AGS_GlobalSettings_SetWonderTimer","ags_global_settings.scar","701"
"AGS_Handicaps","AddModifier","AGS_Handicaps_AddModifier","gameplay/ags_handicaps.scar","108"
"AGS_Handicaps","ApplyMilitaryBonus","AGS_Handicaps_ApplyMilitaryBonus","gameplay/ags_handicaps.scar","85"
"AGS_Handicaps","ApplyModifier","AGS_Handicaps_ApplyModifier","gameplay/ags_handicaps.scar","105"
"AGS_Handicaps","ApplyPerPlayer","AGS_Handicaps_ApplyPerPlayer","gameplay/ags_handicaps.scar","46"
"AGS_Handicaps","ApplyWorkerBonus","AGS_Handicaps_ApplyWorkerBonus","gameplay/ags_handicaps.scar","62"
"AGS_Handicaps","CreateListFrom","AGS_Handicaps_CreateListFrom","gameplay/ags_handicaps.scar","113"
"AGS_Handicaps","PresetFinalize","AGS_Handicaps_PresetFinalize","gameplay/ags_handicaps.scar","37"
"AGS_Handicaps","ToRaw","AGS_Handicaps_ToRaw","gameplay/ags_handicaps.scar","126"
"AGS_Handicaps","UpdateModuleSettings","AGS_Handicaps_UpdateModuleSettings","gameplay/ags_handicaps.scar","30"
"AGS_LimitsUI","AnimTick","AGS_LimitsUI_AnimTick","gameplay/ags_limits_ui.scar","574"
"AGS_LimitsUI","ApplyMargin","AGS_LimitsUI_ApplyMargin","gameplay/ags_limits_ui.scar","692"
"AGS_LimitsUI","BlendARGB","AGS_LimitsUI_BlendARGB","gameplay/ags_limits_ui.scar","389"
"AGS_LimitsUI","BlendRGB","AGS_LimitsUI_BlendRGB","gameplay/ags_limits_ui.scar","373"
"AGS_LimitsUI","BoostARGB","AGS_LimitsUI_BoostARGB","gameplay/ags_limits_ui.scar","673"
"AGS_LimitsUI","BoostRGB","AGS_LimitsUI_BoostRGB","gameplay/ags_limits_ui.scar","654"
"AGS_LimitsUI","CreateAndUpdateUI","AGS_LimitsUI_CreateAndUpdateUI","gameplay/ags_limits_ui.scar","740"
"AGS_LimitsUI","CreateUI","AGS_LimitsUI_CreateUI","gameplay/ags_limits_ui.scar","748"
"AGS_LimitsUI","DeferUpdate","AGS_LimitsUI_DeferUpdate","gameplay/ags_limits_ui.scar","274"
"AGS_LimitsUI","EarlyInitializations","AGS_LimitsUI_EarlyInitializations","gameplay/ags_limits_ui.scar","215"
"AGS_LimitsUI","GetColors","AGS_LimitsUI_GetColors","gameplay/ags_limits_ui.scar","312"
"AGS_LimitsUI","OnBuildItemComplete","AGS_LimitsUI_OnBuildItemComplete","gameplay/ags_limits_ui.scar","294"
"AGS_LimitsUI","OnConstructionComplete","AGS_LimitsUI_OnConstructionComplete","gameplay/ags_limits_ui.scar","290"
"AGS_LimitsUI","OnEntityKilled","AGS_LimitsUI_OnEntityKilled","gameplay/ags_limits_ui.scar","298"
"AGS_LimitsUI","OnGameOver","AGS_LimitsUI_OnGameOver","gameplay/ags_limits_ui.scar","249"
"AGS_LimitsUI","OnGameRestore","AGS_LimitsUI_OnGameRestore","gameplay/ags_limits_ui.scar","243"
"AGS_LimitsUI","OnPlay","AGS_LimitsUI_OnPlay","gameplay/ags_limits_ui.scar","219"
"AGS_LimitsUI","OnPlayerDefeated","AGS_LimitsUI_OnPlayerDefeated","gameplay/ags_limits_ui.scar","262"
"AGS_LimitsUI","OnSquadKilled","AGS_LimitsUI_OnSquadKilled","gameplay/ags_limits_ui.scar","302"
"AGS_LimitsUI","RecreateUI","AGS_LimitsUI_RecreateUI","gameplay/ags_limits_ui.scar","727"
"AGS_LimitsUI","Show","AGS_LimitsUI_Show","gameplay/ags_limits_ui.scar","712"
"AGS_LimitsUI","Update","AGS_LimitsUI_Update","gameplay/ags_limits_ui.scar","441"
"AGS_LimitsUI","UpdateModuleSettings","AGS_LimitsUI_UpdateModuleSettings","gameplay/ags_limits_ui.scar","202"
"AGS_MatchUI","CreateAndUpdateUI","AGS_MatchUI_CreateAndUpdateUI","specials/ags_match_ui.scar","111"
"AGS_MatchUI","CreateDataContext","AGS_MatchUI_CreateDataContext","specials/ags_match_ui.scar","85"
"AGS_MatchUI","CreateUI","AGS_MatchUI_CreateUI","specials/ags_match_ui.scar","116"
"AGS_MatchUI","EarlyInitializations","AGS_MatchUI_EarlyInitializations","specials/ags_match_ui.scar","53"
"AGS_MatchUI","HideDropdown","AGS_MatchUI_HideDropdown","specials/ags_match_ui.scar","372"
"AGS_MatchUI","OnGameOver","AGS_MatchUI_OnGameOver","specials/ags_match_ui.scar","69"
"AGS_MatchUI","OnGameRestore","AGS_MatchUI_OnGameRestore","specials/ags_match_ui.scar","63"
"AGS_MatchUI","OnPlay","AGS_MatchUI_OnPlay","specials/ags_match_ui.scar","58"
"AGS_MatchUI","OnPlayerDefeated","AGS_MatchUI_OnPlayerDefeated","specials/ags_match_ui.scar","74"
"AGS_MatchUI","Show","AGS_MatchUI_Show","specials/ags_match_ui.scar","104"
"AGS_MatchUI","ToggleDropdown","AGS_MatchUI_ToggleDropdown","specials/ags_match_ui.scar","361"
"AGS_MatchUI","ToggleObjectives","AGS_MatchUI_ToggleObjectives","specials/ags_match_ui.scar","378"
"AGS_MatchUI","Update","AGS_MatchUI_Update","specials/ags_match_ui.scar","94"
"AGS_MatchUI","UpdateModuleSettings","AGS_MatchUI_UpdateModuleSettings","specials/ags_match_ui.scar","46"
"AGS_MedicPopulationCapacity","ApplyMaxCapMedicPopulation","AGS_MedicPopulationCapacity_ApplyMaxCapMedicPopulation","gameplay/ags_population_capacity.scar","107"
"AGS_MedicPopulationCapacity","ApplyMinMedicPopulation","AGS_MedicPopulationCapacity_ApplyMinMedicPopulation","gameplay/ags_population_capacity.scar","103"
"AGS_MedicPopulationCapacity","Change","AGS_MedicPopulationCapacity_Change","gameplay/ags_population_capacity.scar","90"
"AGS_MedicPopulationCapacity","PresetFinalize","AGS_MedicPopulationCapacity_PresetFinalize","gameplay/ags_population_capacity.scar","50"
"AGS_MedicPopulationCapacity","SetMinMedicPopulation","AGS_MedicPopulationCapacity_SetMinMedicPopulation","gameplay/ags_population_capacity.scar","97"
"AGS_MedicPopulationCapacity","UpdateModuleSettings","AGS_MedicPopulationCapacity_UpdateModuleSettings","gameplay/ags_population_capacity.scar","43"
"AGS_NoArsenal","Lock","AGS_NoArsenal_Lock","gameplay/ags_no_dock.scar","160"
"AGS_NoArsenal","PresetFinalize","AGS_NoArsenal_PresetFinalize","gameplay/ags_no_dock.scar","77"
"AGS_NoArsenal","UpdateModuleSettings","AGS_NoArsenal_UpdateModuleSettings","gameplay/ags_no_dock.scar","70"
"AGS_NoDock","Lock","AGS_NoDock_Lock","gameplay/ags_no_dock.scar","86"
"AGS_NoDock","PresetFinalize","AGS_NoDock_PresetFinalize","gameplay/ags_no_dock.scar","33"
"AGS_NoDock","UpdateModuleSettings","AGS_NoDock_UpdateModuleSettings","gameplay/ags_no_dock.scar","26"
"AGS_NoSiege","Lock","AGS_NoSiege_Lock","gameplay/ags_no_dock.scar","106"
"AGS_NoSiege","PresetFinalize","AGS_NoSiege_PresetFinalize","gameplay/ags_no_dock.scar","63"
"AGS_NoSiege","UpdateModuleSettings","AGS_NoSiege_UpdateModuleSettings","gameplay/ags_no_dock.scar","56"
"AGS_NoWall","Lock","AGS_NoWall_Lock","gameplay/ags_no_dock.scar","93"
"AGS_NoWall","PresetFinalize","AGS_NoWall_PresetFinalize","gameplay/ags_no_dock.scar","48"
"AGS_NoWall","UpdateModuleSettings","AGS_NoWall_UpdateModuleSettings","gameplay/ags_no_dock.scar","41"
"AGS_PopulationAutomatic","ApplyStartCaps","AGS_PopulationAutomatic_ApplyStartCaps","gameplay/ags_auto_population.scar","96"
"AGS_PopulationAutomatic","CompensateInnate","AGS_PopulationAutomatic_CompensateInnate","gameplay/ags_auto_population.scar","65"
"AGS_PopulationAutomatic","EarlyInitializations","AGS_PopulationAutomatic_EarlyInitializations","gameplay/ags_auto_population.scar","46"
"AGS_PopulationAutomatic","NormalizeStartCap","AGS_PopulationAutomatic_NormalizeStartCap","gameplay/ags_auto_population.scar","82"
"AGS_PopulationAutomatic","PresetFinalize","AGS_PopulationAutomatic_PresetFinalize","gameplay/ags_auto_population.scar","52"
"AGS_PopulationAutomatic","ReconcileCapDrift","AGS_PopulationAutomatic_ReconcileCapDrift","gameplay/ags_auto_population.scar","171"
"AGS_PopulationAutomatic","UpdateModuleSettings","AGS_PopulationAutomatic_UpdateModuleSettings","gameplay/ags_auto_population.scar","38"
"AGS_PopulationCapacity","AdjustSettings","AGS_PopulationCapacity_AdjustSettings","gameplay/ags_population_capacity.scar","28"
"AGS_PopulationCapacity","ApplyMaxCapPopulation","AGS_PopulationCapacity_ApplyMaxCapPopulation","gameplay/ags_population_capacity.scar","84"
"AGS_PopulationCapacity","ApplyMinPopulation","AGS_PopulationCapacity_ApplyMinPopulation","gameplay/ags_population_capacity.scar","80"
"AGS_PopulationCapacity","Change","AGS_PopulationCapacity_Change","gameplay/ags_population_capacity.scar","60"
"AGS_PopulationCapacity","PresetFinalize","AGS_PopulationCapacity_PresetFinalize","gameplay/ags_population_capacity.scar","35"
"AGS_PopulationCapacity","SetMinPopulation","AGS_PopulationCapacity_SetMinPopulation","gameplay/ags_population_capacity.scar","67"
"AGS_PopulationCapacity","UpdateModuleSettings","AGS_PopulationCapacity_UpdateModuleSettings","gameplay/ags_population_capacity.scar","21"
"AGS_RevealFowOnElimination","OnPlayerDefeated","AGS_RevealFowOnElimination_OnPlayerDefeated","gameplay/ags_reveal_fow_on_elimination.scar","25"
"AGS_RevealFowOnElimination","Reveal","AGS_RevealFowOnElimination_Reveal","gameplay/ags_reveal_fow_on_elimination.scar","34"
"AGS_RevealFowOnElimination","UpdateModuleSettings","AGS_RevealFowOnElimination_UpdateModuleSettings","gameplay/ags_reveal_fow_on_elimination.scar","18"
"AGS_Scattered","AdjustSettings","AGS_Scattered_AdjustSettings","startconditions/ags_start_scattered.scar","23"
"AGS_Scattered","CreateSpawn","AGS_Scattered_CreateSpawn","startconditions/ags_start_scattered.scar","97"
"AGS_Scattered","DestroySpawn","AGS_Scattered_DestroySpawn","startconditions/ags_start_scattered.scar","82"
"AGS_Scattered","EarlyInitializations","AGS_Scattered_EarlyInitializations","startconditions/ags_start_scattered.scar","37"
"AGS_Scattered","GetScatterPosition","AGS_Scattered_GetScatterPosition","startconditions/ags_start_scattered.scar","90"
"AGS_Scattered","OnStarting","AGS_Scattered_OnStarting","startconditions/ags_start_scattered.scar","56"
"AGS_Scattered","PresetExecute","AGS_Scattered_PresetExecute","startconditions/ags_start_scattered.scar","51"
"AGS_Scattered","PresetInitialize","AGS_Scattered_PresetInitialize","startconditions/ags_start_scattered.scar","44"
"AGS_Scattered","UpdateModuleSettings","AGS_Scattered_UpdateModuleSettings","startconditions/ags_start_scattered.scar","30"
"AGS_SpecialPopulationUI","CreateAndUpdateUI","AGS_SpecialPopulationUI_CreateAndUpdateUI","gameplay/ags_special_population_ui.scar","151"
"AGS_SpecialPopulationUI","CreateDataContext","AGS_SpecialPopulationUI_CreateDataContext","gameplay/ags_special_population_ui.scar","99"
"AGS_SpecialPopulationUI","CreateUI","AGS_SpecialPopulationUI_CreateUI","gameplay/ags_special_population_ui.scar","156"
"AGS_SpecialPopulationUI","EarlyInitializations","AGS_SpecialPopulationUI_EarlyInitializations","gameplay/ags_special_population_ui.scar","41"
"AGS_SpecialPopulationUI","MarginError","AGS_SpecialPopulationUI_MarginError","gameplay/ags_special_population_ui.scar","129"
"AGS_SpecialPopulationUI","OnBuildItemComplete","AGS_SpecialPopulationUI_OnBuildItemComplete","gameplay/ags_special_population_ui.scar","85"
